epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8296,1.04368,2.31806,1.44357,0.35599,0.49966,0.40893,0.21784,1.0792,2.56879,1.47799,0.000331818,0.000331818,0.000331818
2,101.166,1.24126,2.07361,1.57314,0.39645,0.5541,0.37941,0.22727,1.23854,3.10108,1.61953,0.000658567,0.000658567,0.000658567
3,148.788,1.26779,2.14936,1.59558,0.5786,0.38682,0.40161,0.21852,1.47479,2.62127,1.81026,0.000978715,0.000978715,0.000978715
4,193.323,1.26951,2.13735,1.58479,0.32704,0.45517,0.35073,0.20906,1.46426,2.39123,1.82043,0.0009703,0.0009703,0.0009703
5,240.188,1.20542,2.06058,1.54621,0.40292,0.48587,0.39292,0.22536,1.2861,2.18259,1.67956,0.0009604,0.0009604,0.0009604
6,287.594,1.17902,1.98643,1.52527,0.33468,0.54701,0.43266,0.25645,1.19943,2.3384,1.50887,0.0009505,0.0009505,0.0009505
7,338.502,1.16802,1.98986,1.52175,0.53483,0.55112,0.57807,0.35103,1.2607,1.72831,1.61037,0.0009406,0.0009406,0.0009406
8,388.196,1.13455,1.85595,1.48885,0.44066,0.6789,0.58642,0.37697,1.17156,1.8754,1.43603,0.0009307,0.0009307,0.0009307
9,438.707,1.12358,1.84385,1.48133,0.55422,0.53761,0.61624,0.43161,1.04662,1.53725,1.36521,0.0009208,0.0009208,0.0009208
10,489.846,1.1199,1.84046,1.48633,0.57793,0.64975,0.65824,0.42163,1.13758,1.62091,1.45912,0.0009109,0.0009109,0.0009109
11,539.785,1.04876,1.73075,1.45335,0.5049,0.62989,0.57422,0.39065,1.05289,1.71192,1.40825,0.000901,0.000901,0.000901
12,590.264,1.05943,1.75509,1.44076,0.52666,0.64894,0.65254,0.42143,1.06522,1.53775,1.4289,0.0008911,0.0008911,0.0008911
13,639.871,1.03606,1.7217,1.42659,0.67107,0.59806,0.66736,0.44529,1.01097,1.51907,1.37079,0.0008812,0.0008812,0.0008812
14,688.933,1.04369,1.7151,1.43471,0.59914,0.61233,0.6314,0.44585,0.99968,1.52438,1.35948,0.0008713,0.0008713,0.0008713
15,739.839,1.0269,1.63817,1.42232,0.68763,0.67892,0.7196,0.49887,1.02275,1.44861,1.35173,0.0008614,0.0008614,0.0008614
16,790.403,1.01429,1.5685,1.41946,0.70904,0.68452,0.75022,0.5238,0.93176,1.30172,1.27151,0.0008515,0.0008515,0.0008515
17,841.57,1.01799,1.54766,1.42798,0.58057,0.64946,0.64123,0.41664,1.09224,1.59902,1.44267,0.0008416,0.0008416,0.0008416
18,891.136,0.95895,1.46272,1.39358,0.66897,0.73304,0.76431,0.55007,0.96391,1.1753,1.33884,0.0008317,0.0008317,0.0008317
